id ! accountId ! entryName ! amount ! date ! version
  1020 ! 47793 ! CHECK ! -435.10 ! 1566270533275 ! v1
  1021 ! 80326 ! deposit ! 936.38 ! 1569640133534 ! v1
  1022 ! 62532 ! CHECK ! -567.14 ! 1571022533737 ! v1
  1023 ! 47793 ! CHECK ! -348.65 ! 1571627333040 ! v1
  1024 ! 57632 ! deposit ! 673.16 ! 1572318533340 ! v1
  1025 ! 15897 ! deposit ! 439.84 ! 1572404933162 ! v1
  1026 ! 57632 ! deposit ! 291.31 ! 1574741333378 ! v1
  1027 ! 15897 ! deposit ! 369.20 ! 1574827732994 ! v1
  1028 ! 56108 ! W/D ! -694.05 ! 1574827733992 ! v1
  1029 ! 56108 ! CHECK ! -495.60 ! 1574914133924 ! v1
  1030 ! 6817 ! CHECK ! -838.02 ! 1575518933523 ! v1
  1031 ! 15897 ! deposit ! 958.26 ! 1575518933646 ! v1
  1032 ! 82650 ! deposit ! 398.42 ! 1575605333844 ! v1
  1033 ! 5889 ! deposit ! 774.83 ! 1575950933472 ! v1
  1034 ! 47793 ! deposit ! 996.82 ! 1576123733078 ! v1
  1035 ! 62532 ! deposit ! 380.60 ! 1576296533844 ! v1
  1036 ! 80326 ! deposit ! 83.05 ! 1576469333733 ! v1
  1037 ! 88950 ! deposit ! 478.96 ! 1577246933558 ! v1
  1038 ! 61733 ! CHECK ! -570.88 ! 1578283733782 ! v1
  1039 ! 62532 ! deposit ! 574.34 ! 1580530133872 ! v1
  1040 ! 57632 ! deposit ! 4.97 ! 1583896133468 ! v1
  1041 ! 15897 ! deposit ! 978.99 ! 1585192133264 ! v1
  1042 ! 5889 ! deposit ! 568.92 ! 1585278533584 ! v1
  1043 ! 15897 ! deposit ! 733.03 ! 1585624133068 ! v1
  1044 ! 47793 ! deposit ! 778.35 ! 1585624133169 ! v1
  1045 ! 82650 ! deposit ! 479.76 ! 1586660933834 ! v1
  1046 ! 16817 ! OPEN ! 2376.92 ! 1586747333347 ! v1
  1047 ! 88950 ! deposit ! 852.14 ! 1587870533691 ! v1
  1048 ! 5889 ! deposit ! 324.91 ! 1588043333031 ! v1
  1049 ! 56108 ! deposit ! 555.67 ! 1588734533707 ! v1
  1050 ! 6817 ! CHECK ! -688.96 ! 1589166533894 ! v1
  1051 ! 5889 ! deposit ! 595.97 ! 1589598533133 ! v1
  1052 ! 80326 ! deposit ! 944.04 ! 1590635333777 ! v1
  1053 ! 5889 ! CHECK ! -266.76 ! 1590894533464 ! v1
  1054 ! 57632 ! deposit ! 171.79 ! 1591672133266 ! v1
  1055 ! 61733 ! deposit ! 449.67 ! 1593140933672 ! v1
  1056 ! 82650 ! deposit ! 560.95 ! 1593918533184 ! v1
  1057 ! 38322 ! OPEN ! 94.47 ! 1594004933603 ! v1
  1058 ! 47793 ! CHECK ! -69.36 ! 1594091333103 ! v1
  1059 ! 62532 ! CHECK ! -71.97 ! 1594523333086 ! v1
  1060 ! 88950 ! CHECK ! -109.05 ! 1595905733908 ! v1
  1061 ! 80326 ! W/D ! -849.64 ! 1596769733955 ! v1
  1062 ! 56108 ! CHECK ! -397.06 ! 1597115333044 ! v1
  1063 ! 47793 ! deposit ! 699.07 ! 1597720133582 ! v1
  1064 ! 25127 ! OPEN ! 954.85 ! 1597806533514 ! v1
  1065 ! 74298 ! OPEN ! 1086.91 ! 1599620933597 ! v1
  1066 ! 5889 ! CHECK ! -914.07 ! 1599793733101 ! v1
  1067 ! 15897 ! deposit ! 722.65 ! 1600744133601 ! v1
  1068 ! 89475 ! OPEN ! 1164.04 ! 1601003333115 ! v1
  1069 ! 16817 ! deposit ! 406.50 ! 1601780933141 ! v1
  1070 ! 89475 ! W/D ! -237.42 ! 1601867333052 ! v1
  1071 ! 56108 ! W/D ! -361.62 ! 1602299333244 ! v1
  1072 ! 6817 ! deposit ! 608.42 ! 1602904133789 ! v1
  1073 ! 38322 ! deposit ! 749.60 ! 1604376533849 ! v1
  1074 ! 61733 ! CHECK ! -922.14 ! 1604549333382 ! v1
  1075 ! 80326 ! CHECK ! -256.85 ! 1604722133914 ! v1
  1076 ! 57632 ! CHECK ! -311.59 ! 1604808533882 ! v1
  1077 ! 61733 ! deposit ! 44.46 ! 1604894933786 ! v1
  1078 ! 82650 ! deposit ! 323.92 ! 1605067733639 ! v1
  1079 ! 96670 ! OPEN ! 3089.35 ! 1605154133968 ! v1
  1080 ! 56276 ! OPEN ! 890.67 ! 1605758933780 ! v1
  1081 ! 82650 ! CHECK ! -871.77 ! 1605931733603 ! v1
  1082 ! 47793 ! deposit ! 329.59 ! 1606882133965 ! v1
  1083 ! 88950 ! W/D ! -449.94 ! 1607227732992 ! v1
  1084 ! 62532 ! CHECK ! -964.58 ! 1607400533515 ! v1
  1085 ! 25127 ! CHECK ! -954.85 ! 1607746133916 ! v1
  1086 ! 74298 ! CHECK ! -535.87 ! 1607918933646 ! v1
  1087 ! 61733 ! deposit ! 96.76 ! 1608264533247 ! v1
  1088 ! 15897 ! W/D ! -157.29 ! 1608437333431 ! v1
  1089 ! 74298 ! W/D ! -540.50 ! 1610338133051 ! v1
  1090 ! 6817 ! W/D ! -76.86 ! 1610856533109 ! v1
  1091 ! 89475 ! CHECK ! -926.62 ! 1610856533499 ! v1
  1092 ! 88950 ! CHECK ! -877.44 ! 1610942933333 ! v1
  1093 ! 38322 ! CHECK ! -638.82 ! 1612152533096 ! v1
  1094 ! 89475 ! deposit ! 241.45 ! 1612584533705 ! v1
  1095 ! 47793 ! CHECK ! -145.36 ! 1613362133645 ! v1
  1096 ! 25127 ! deposit ! 912.10 ! 1613707733554 ! v1
  1097 ! 57632 ! deposit ! 948.92 ! 1613794133424 ! v1
  1098 ! 16817 ! CHECK ! -750.26 ! 1613880533703 ! v1
  1099 ! 5889 ! CHECK ! -581.03 ! 1614053333142 ! v1
  1100 ! 16817 ! CHECK ! -359.19 ! 1614571733074 ! v1
  1101 ! 6817 ! deposit ! 882.20 ! 1615608533857 ! v1
  1102 ! 47793 ! deposit ! 820.14 ! 1615608533871 ! v1
  1103 ! 82650 ! W/D ! -62.52 ! 1615694933959 ! v1
  1104 ! 74298 ! CHECK ! -10.54 ! 1615950533125 ! v1
  1105 ! 96670 ! W/D ! -511.99 ! 1616123333176 ! v1
  1106 ! 57632 ! CHECK ! -96.91 ! 1616555333906 ! v1
  1107 ! 74298 ! deposit ! 367.02 ! 1616900933264 ! v1
  1108 ! 56108 ! CHECK ! -42.89 ! 1617419333928 ! v1
  1109 ! 25127 ! CHECK ! -539.40 ! 1617764933430 ! v1
  1110 ! 16817 ! CHECK ! -253.85 ! 1617937733149 ! v1
  1111 ! 80326 ! deposit ! 629.38 ! 1618369733694 ! v1
  1112 ! 88950 ! CHECK ! -20.40 ! 1618801733819 ! v1
  1113 ! 57632 ! deposit ! 879.86 ! 1618974533612 ! v1
  1114 ! 56276 ! CHECK ! -890.67 ! 1619060933837 ! v1
  1115 ! 74298 ! deposit ! 885.99 ! 1620011333830 ! v1
  1116 ! 61733 ! deposit ! 274.13 ! 1620356933870 ! v1
  1117 ! 57632 ! deposit ! 444.45 ! 1621048133596 ! v1
  1118 ! 62532 ! deposit ! 35.74 ! 1621220933992 ! v1
  1119 ! 44263 ! OPEN ! 1031.97 ! 1621307333265 ! v1
  1120 ! 88950 ! deposit ! 150.62 ! 1622084933113 ! v1
  1121 ! 61733 ! CHECK ! -572.75 ! 1622257733104 ! v1
  1122 ! 44263 ! deposit ! 344.70 ! 1622430533777 ! v1
  1123 ! 15897 ! CHECK ! -124.60 ! 1622603333220 ! v1
  1124 ! 44263 ! deposit ! 385.61 ! 1622948933368 ! v1
  1125 ! 38322 ! deposit ! 189.48 ! 1623467333590 ! v1
  1126 ! 89475 ! deposit ! 359.96 ! 1623726533531 ! v1
  1127 ! 56276 ! deposit ! 285.07 ! 1626232133030 ! v1
  1128 ! 5889 ! deposit ! 216.91 ! 1626750533361 ! v1
  1129 ! 82650 ! deposit ! 54.79 ! 1626836933445 ! v1
  1130 ! 88950 ! W/D ! -812.34 ! 1627009733236 ! v1
  1131 ! 16817 ! CHECK ! -772.50 ! 1627182533811 ! v1
  1132 ! 16817 ! CHECK ! -647.62 ! 1627441733417 ! v1
  1133 ! 96670 ! W/D ! -745.80 ! 1627960133374 ! v1
  1134 ! 74298 ! CHECK ! -491.94 ! 1628305733011 ! v1
  1135 ! 89475 ! deposit ! 868.21 ! 1628651332995 ! v1
  1136 ! 57632 ! CHECK ! -237.09 ! 1628910533107 ! v1
  1137 ! 61733 ! W/D ! -768.00 ! 1629256133317 ! v1
  1138 ! 56108 ! CHECK ! -712.53 ! 1629774533341 ! v1
  1139 ! 6817 ! deposit ! 394.93 ! 1629860933768 ! v1
  1140 ! 47793 ! W/D ! -515.07 ! 1630724933800 ! v1
  1141 ! 38322 ! deposit ! 470.15 ! 1631156933298 ! v1
  1142 ! 25127 ! deposit ! 736.89 ! 1631243333904 ! v1
  1143 ! 88950 ! deposit ! 322.45 ! 1631243333950 ! v1
  1144 ! 96670 ! W/D ! -314.41 ! 1631416133066 ! v1
  1145 ! 80326 ! CHECK ! -207.52 ! 1632452933503 ! v1
  1146 ! 56276 ! deposit ! 585.03 ! 1632884933924 ! v1
  1147 ! 15897 ! W/D ! -604.11 ! 1633489733733 ! v1
  1148 ! 82650 ! W/D ! -613.63 ! 1634440133814 ! v1
  1149 ! 47793 ! deposit ! 682.10 ! 1634526533683 ! v1
  1150 ! 56276 ! deposit ! 944.88 ! 1634785733884 ! v1
  1151 ! 62532 ! deposit ! 722.96 ! 1635044933888 ! v1
  1152 ! 82650 ! deposit ! 155.30 ! 1635131333914 ! v1
  1153 ! 88950 ! W/D ! -19.95 ! 1635995333809 ! v1
  1154 ! 44263 ! CHECK ! -621.84 ! 1636430933980 ! v1
  1155 ! 44263 ! CHECK ! -5.59 ! 1636517333211 ! v1
  1156 ! 16817 ! deposit ! 774.15 ! 1637381333790 ! v1
  1157 ! 6817 ! deposit ! 671.16 ! 1637640533206 ! v1
  1158 ! 47793 ! deposit ! 173.45 ! 1637726933863 ! v1
  1159 ! 57632 ! deposit ! 293.11 ! 1638677333495 ! v1
  1160 ! 56108 ! CHECK ! -775.72 ! 1639022933309 ! v1
  1161 ! 56108 ! W/D ! -728.93 ! 1639282133340 ! v1
  1162 ! 16817 ! deposit ! 936.25 ! 1639454933741 ! v1
  1163 ! 44263 ! deposit ! 48.05 ! 1640232533671 ! v1
  1164 ! 47793 ! W/D ! -927.70 ! 1640318933807 ! v1
  1165 ! 62532 ! deposit ! 228.67 ! 1640837333004 ! v1
  1166 ! 57632 ! deposit ! 356.32 ! 1640923733591 ! v1
  1167 ! 89475 ! W/D ! -544.42 ! 1641096533551 ! v1
  1168 ! 5889 ! deposit ! 341.99 ! 1642046933556 ! v1
  1169 ! 38322 ! deposit ! 395.27 ! 1642219733058 ! v1
  1170 ! 96670 ! CHECK ! -800.26 ! 1642306133825 ! v1
  1171 ! 61733 ! CHECK ! -592.55 ! 1643170133412 ! v1
  1172 ! 74298 ! deposit ! 245.39 ! 1643515733015 ! v1
  1173 ! 57632 ! deposit ! 686.63 ! 1643774933014 ! v1
  1174 ! 6817 ! CHECK ! -767.22 ! 1644552533793 ! v1
  1175 ! 82650 ! W/D ! -527.30 ! 1644725333186 ! v1
  1176 ! 38322 ! deposit ! 336.00 ! 1644898133694 ! v1
  1177 ! 44263 ! CHECK ! -844.76 ! 1644984533442 ! v1
  1178 ! 80326 ! CHECK ! -959.96 ! 1645070933346 ! v1
  1179 ! 62532 ! W/D ! -578.84 ! 1645502933646 ! v1
  1180 ! 15897 ! CHECK ! -121.69 ! 1645675733143 ! v1
  1181 ! 25127 ! CHECK ! -346.20 ! 1645762133153 ! v1
  1182 ! 6817 ! CHECK ! -458.61 ! 1646712533765 ! v1
  1183 ! 57632 ! W/D ! -669.61 ! 1646885333009 ! v1
  1184 ! 47793 ! deposit ! 712.97 ! 1647227333752 ! v1
  1185 ! 47793 ! CHECK ! -200.22 ! 1647400133815 ! v1
  1186 ! 44263 ! deposit ! 641.39 ! 1647659333683 ! v1
  1187 ! 56276 ! W/D ! -900.56 ! 1649992133847 ! v1
  1188 ! 89475 ! CHECK ! -351.20 ! 1650856133185 ! v1
  1189 ! 88950 ! deposit ! 332.81 ! 1650942533366 ! v1
  1190 ! 96670 ! deposit ! 210.99 ! 1651288133330 ! v1
  1191 ! 74298 ! deposit ! 506.72 ! 1651979333938 ! v1
  1192 ! 56108 ! deposit ! 888.50 ! 1652065733443 ! v1
  1193 ! 38322 ! deposit ! 255.42 ! 1652238533152 ! v1
  1194 ! 56108 ! deposit ! 284.31 ! 1652238533335 ! v1
  1195 ! 62532 ! W/D ! -747.60 ! 1652238533980 ! v1
  1196 ! 16817 ! deposit ! 868.76 ! 1653188933695 ! v1
  1197 ! 80326 ! CHECK ! -326.29 ! 1653448133790 ! v1
  1198 ! 61733 ! deposit ! 177.79 ! 1653793733424 ! v1
  1199 ! 15897 ! deposit ! 291.02 ! 1653966533695 ! v1
  1200 ! 25127 ! deposit ! 406.52 ! 1654398533687 ! v1
  1201 ! 44263 ! CHECK ! -979.53 ! 1654916933260 ! v1
  1202 ! 5889 ! deposit ! 284.89 ! 1655176133045 ! v1
  1203 ! 47793 ! deposit ! 859.04 ! 1655435333020 ! v1
  1204 ! 38322 ! CHECK ! -752.68 ! 1655953733171 ! v1
  1205 ! 57632 ! deposit ! 58.33 ! 1656299333766 ! v1
  1206 ! 82650 ! CHECK ! -35.22 ! 1657249733515 ! v1
  1207 ! 80326 ! deposit ! 559.70 ! 1657336132979 ! v1
  1208 ! 6817 ! deposit ! 698.67 ! 1657336133664 ! v1
  1209 ! 61733 ! deposit ! 349.49 ! 1657336133980 ! v1
  1210 ! 56276 ! deposit ! 720.99 ! 1659150533517 ! v1
  1211 ! 56276 ! W/D ! -944.51 ! 1659236933667 ! v1
  1212 ! 96670 ! CHECK ! -927.88 ! 1659496133570 ! v1
  1213 ! 56108 ! deposit ! 905.03 ! 1659496133900 ! v1
  1214 ! 57632 ! W/D ! -150.64 ! 1661310533148 ! v1
  1215 ! 6817 ! deposit ! 729.69 ! 1661483333198 ! v1
  1216 ! 5889 ! W/D ! -409.60 ! 1662260933433 ! v1
  1217 ! 62532 ! deposit ! 309.09 ! 1663124933517 ! v1
  1218 ! 25127 ! deposit ! 723.62 ! 1663470533685 ! v1
  1219 ! 82650 ! CHECK ! -251.54 ! 1663643333903 ! v1
  1220 ! 82650 ! CHECK ! -89.30 ! 1664075333352 ! v1
  1221 ! 89475 ! CHECK ! -573.70 ! 1664766533820 ! v1
  1222 ! 38322 ! W/D ! -818.66 ! 1665457733906 ! v1
  1223 ! 89475 ! deposit ! 812.13 ! 1665457733961 ! v1
  1224 ! 88950 ! CHECK ! -617.30 ! 1665976133235 ! v1
  1225 ! 74298 ! W/D ! -103.59 ! 1666753733348 ! v1
  1226 ! 62532 ! CHECK ! -366.22 ! 1667012933837 ! v1
  1227 ! 56108 ! CHECK ! -134.32 ! 1667444933560 ! v1
  1228 ! 57632 ! CHECK ! -265.25 ! 1667704133348 ! v1
  1229 ! 80326 ! CHECK ! -982.58 ! 1668053333880 ! v1
  1230 ! 5889 ! W/D ! -175.00 ! 1668226133580 ! v1
  1231 ! 16817 ! deposit ! 276.16 ! 1668226133734 ! v1
  1232 ! 47793 ! deposit ! 311.65 ! 1668312533285 ! v1
  1233 ! 80326 ! deposit ! 46.12 ! 1668312533885 ! v1
  1234 ! 82650 ! deposit ! 340.32 ! 1668398933548 ! v1
  1235 ! 44263 ! deposit ! 59.73 ! 1668917333232 ! v1
  1236 ! 15897 ! deposit ! 859.54 ! 1669349333529 ! v1
  1237 ! 88950 ! deposit ! 474.06 ! 1669349333717 ! v1
  1238 ! 25127 ! W/D ! -775.25 ! 1669694933493 ! v1
  1239 ! 6817 ! deposit ! 852.38 ! 1669867733240 ! v1
  1240 ! 82650 ! CHECK ! -237.15 ! 1670040533274 ! v1
  1241 ! 5889 ! deposit ! 161.35 ! 1670645333108 ! v1
  1242 ! 38322 ! CHECK ! -280.23 ! 1671163733063 ! v1
  1243 ! 96670 ! deposit ! 508.89 ! 1672114133747 ! v1
  1244 ! 61733 ! W/D ! -458.09 ! 1672459733451 ! v1
  1245 ! 56276 ! CHECK ! -486.23 ! 1672718933190 ! v1
  1246 ! 16817 ! W/D ! -253.53 ! 1672718933337 ! v1
  1247 ! 5889 ! W/D ! -525.98 ! 1673150933092 ! v1
  1248 ! 25127 ! CHECK ! -220.42 ! 1673842133078 ! v1
  1249 ! 25127 ! CHECK ! -47.92 ! 1675051732994 ! v1
  1250 ! 89475 ! deposit ! 183.46 ! 1675051733375 ! v1
  1251 ! 56108 ! CHECK ! -250.46 ! 1675310933398 ! v1
  1252 ! 56276 ! W/D ! -24.35 ! 1676002133100 ! v1
  1253 ! 25127 ! CHECK ! -823.36 ! 1676779733094 ! v1
  1254 ! 80326 ! CHECK ! -417.31 ! 1677211733112 ! v1
  1255 ! 16817 ! deposit ! 521.98 ! 1678075733768 ! v1
  1256 ! 82650 ! CHECK ! -814.42 ! 1678507733237 ! v1
  1257 ! 80326 ! W/D ! -203.25 ! 1679195333794 ! v1
  1258 ! 61733 ! CHECK ! -835.25 ! 1681355333291 ! v1
